Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
C3H8,Kobayashi1953,399.82,126.67,3523000,35.23,2.892000e-04,,-0.033009,True,,False
C3H8,Kobayashi1953,399.82,126.67,5178000,51.78,3.665000e-04,,-0.034600,True,,False
C3H8,Kobayashi1953,399.82,126.67,8494000,84.94,4.197000e-04,,-0.034243,True,,False
C3H8,Kobayashi1953,399.82,126.67,12480000,124.80,4.393000e-04,,-0.032788,True,,False
C3H8,Kobayashi1953,399.82,126.67,19214000,192.14,4.766000e-04,,-0.033525,True,,False
C3H8,Kobayashi1953,422.04,148.89,1827000,18.27,1.666000e-04,,0.013923,True,,False
C3H8,Kobayashi1953,422.04,148.89,3247000,32.47,3.031000e-04,,0.003771,True,,False
C3H8,Kobayashi1953,422.04,148.89,4785000,47.85,4.130000e-04,,0.000020,True,,False
C3H8,Kobayashi1953,422.04,148.89,6804000,68.04,4.876000e-04,,0.000748,True,,False
C3H8,Kobayashi1953,422.04,148.89,10789000,107.89,5.801000e-04,,-0.001482,True,,False
C3H8,Kobayashi1953,422.04,148.89,12480000,124.80,6.078000e-04,,-0.002411,True,,False
C3H8,Kobayashi1953,422.04,148.89,19214000,192.14,6.861000e-04,,-0.004824,True,,False
CH4,Culberson 1951,298.15,25.00,2351000,23.51,4.970000e-04,,-0.290833,True,,False
CH4,Culberson 1951,298.15,25.00,3165000,31.65,7.170000e-04,,-0.299574,True,,False
CH4,Culberson 1951,298.15,25.00,4544000,45.44,1.000000e-03,,-0.300886,True,,False
CH4,Culberson 1951,298.15,25.00,6440000,64.40,1.317000e-03,,-0.299524,True,,False
CH4,Culberson 1951,298.15,25.00,8894000,88.94,1.678000e-03,,-0.298867,True,,False
CH4,Culberson 1951,298.15,25.00,13307000,133.07,2.235000e-03,,-0.299513,True,,False
CH4,Culberson 1951,298.15,25.00,17202000,172.02,2.585000e-03,,-0.298331,True,,False
CH4,Culberson 1951,298.15,25.00,24235000,242.35,3.110000e-03,,-0.297771,True,,False
CH4,Culberson 1951,298.15,25.00,33163000,331.63,3.660000e-03,,-0.298020,True,,False
CH4,Culberson 1951,298.15,25.00,44402000,444.02,4.170000e-03,,-0.297105,True,,False
CH4,Culberson 1951,298.15,25.00,53744000,537.44,4.370000e-03,,-0.293395,True,,False
CH4,Culberson 1951,298.15,25.00,64120000,641.20,4.450000e-03,,-0.287941,True,,False
CH4,Culberson 1951,310.93,37.78,2275000,22.75,4.400000e-04,,-0.260284,True,,False
CH4,Culberson 1951,310.93,37.78,3289000,32.89,6.190000e-04,,-0.260484,True,,False
CH4,Culberson 1951,310.93,37.78,4578000,45.78,8.390000e-04,,-0.261491,True,,False
CH4,Culberson 1951,310.93,37.78,6550000,65.50,1.123000e-03,,-0.260363,True,,False
CH4,Culberson 1951,310.93,37.78,8756000,87.56,1.440000e-03,,-0.262139,True,,False
CH4,Culberson 1951,310.93,37.78,13100000,131.00,1.890000e-03,,-0.260160,True,,False
CH4,Culberson 1951,310.93,37.78,17754000,177.54,2.290000e-03,,-0.259651,True,,False
CH4,Culberson 1951,310.93,37.78,24373000,243.73,2.760000e-03,,-0.259728,True,,False
CH4,Culberson 1951,310.93,37.78,33853000,338.53,3.330000e-03,,-0.260831,True,,False
CH4,Culberson 1951,310.93,37.78,44988000,449.88,3.910000e-03,,-0.262501,True,,False
CH4,Culberson 1951,310.93,37.78,54261000,542.61,4.170000e-03,,-0.260032,True,,False
CH4,Culberson 1951,310.93,37.78,68223000,682.23,4.650000e-03,,-0.260200,True,,False
CH4,Culberson 1951,344.26,71.11,2282000,22.82,3.400000e-04,,-0.166781,True,,False
CH4,Culberson 1951,344.26,71.11,3220000,32.20,4.700000e-04,,-0.166916,True,,False
CH4,Culberson 1951,344.26,71.11,4544000,45.44,6.320000e-04,,-0.164783,True,,False
CH4,Culberson 1951,344.26,71.11,6502000,65.02,9.090000e-04,,-0.170503,True,,False
CH4,Culberson 1951,344.26,71.11,9101000,91.01,1.183000e-03,,-0.168511,True,,False
CH4,Culberson 1951,344.26,71.11,12962000,129.62,1.500000e-03,,-0.164105,True,,False
CH4,Culberson 1951,344.26,71.11,17616000,176.16,1.924000e-03,,-0.167469,True,,False
CH4,Culberson 1951,344.26,71.11,24373000,243.73,2.385000e-03,,-0.167670,True,,False
CH4,Culberson 1951,344.26,71.11,33956000,339.56,2.770000e-03,,-0.162123,True,,False
CH4,Culberson 1951,344.26,71.11,44988000,449.88,3.420000e-03,,-0.168443,True,,False
CH4,Culberson 1951,344.26,71.11,56674000,566.74,3.750000e-03,,-0.165332,True,,False
CH4,Culberson 1951,344.26,71.11,68016000,680.16,4.240000e-03,,-0.168995,True,,False
CH4,Culberson 1951,377.59,104.44,2296000,22.96,3.230000e-04,,-0.079922,True,,False
CH4,Culberson 1951,377.59,104.44,3213000,32.13,4.320000e-04,,-0.076038,True,,False
CH4,Culberson 1951,377.59,104.44,3227000,32.27,4.720000e-04,,-0.087814,True,,False
CH4,Culberson 1951,377.59,104.44,4495000,44.95,6.110000e-04,,-0.080904,True,,False
CH4,Culberson 1951,377.59,104.44,6515000,65.15,8.860000e-04,,-0.086092,True,,False
CH4,Culberson 1951,377.59,104.44,9032000,90.32,1.188000e-03,,-0.087618,True,,False
CH4,Culberson 1951,377.59,104.44,13100000,131.00,1.560000e-03,,-0.083316,True,,False
CH4,Culberson 1951,377.59,104.44,17478000,174.78,1.980000e-03,,-0.085833,True,,False
CH4,Culberson 1951,377.59,104.44,24614000,246.14,2.510000e-03,,-0.085205,True,,False
CH4,Culberson 1951,377.59,104.44,34232000,342.32,3.140000e-03,,-0.086721,True,,False
CH4,Culberson 1951,377.59,104.44,44988000,449.88,3.610000e-03,,-0.083763,True,,False
CH4,Culberson 1951,377.59,104.44,56467000,564.67,4.080000e-03,,-0.083429,True,,False
CH4,Culberson 1951,377.59,104.44,68085000,680.85,4.510000e-03,,-0.083908,True,,False
CH4,Culberson 1951,410.93,137.78,2317000,23.17,3.260000e-04,,0.016032,True,,False
CH4,Culberson 1951,410.93,137.78,3199000,31.99,4.600000e-04,,0.010114,True,,False
CH4,Culberson 1951,410.93,137.78,4509000,45.09,6.730000e-04,,0.000602,True,,False
CH4,Culberson 1951,410.93,137.78,6488000,64.88,9.380000e-04,,0.000788,True,,False
CH4,Culberson 1951,410.93,137.78,9032000,90.32,1.326000e-03,,-0.007914,True,,False
CH4,Culberson 1951,410.93,137.78,13100000,131.00,1.857000e-03,,-0.011642,True,,False
CH4,Culberson 1951,410.93,137.78,17099000,170.99,2.346000e-03,,-0.015033,True,,False
CH4,Culberson 1951,410.93,137.78,24510000,245.10,3.015000e-03,,-0.012268,True,,False
