Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
CO2,Bohr 1899,287.95,14.80,103000,1.03,8.281000e-04,,-0.136474,True,,False
CO2,Bohr 1899,292.05,18.90,103500,1.03,7.393000e-04,,-0.131480,True,,False
CO2,Bohr 1899,294.35,21.20,103800,1.04,6.886000e-04,,-0.128022,True,,False
CO2,Bohr 1899,295.75,22.60,104100,1.04,6.596000e-04,,-0.125793,True,,False
CO2,Bohr 1899,299.35,26.20,104700,1.05,5.935000e-04,,-0.120273,True,,False
CO2,Bohr 1899,304.25,31.10,105800,1.06,5.272000e-04,,-0.113771,True,,False
CO2,Bohr 1899,310.45,37.30,107700,1.08,4.584000e-04,,-0.105164,True,,False
CO2,Bohr 1899,313.55,40.40,108900,1.09,4.325000e-04,,-0.101225,True,,False
CO2,Bohr 1899,317.05,43.90,110400,1.10,4.005000e-04,,-0.095637,True,,False
CO2,Bohr 1899,322.95,49.80,113500,1.14,3.588000e-04,,-0.086687,True,,False
CO2,Bohr 1899,334.55,61.40,122600,1.23,2.889000e-04,,-0.064911,True,,False
CO2,Bunsen 1855,277.55,4.40,102200,1.02,1.188000e-03,,-0.151491,True,,False
CO2,Bunsen 1855,281.55,8.40,102400,1.02,1.005000e-03,,-0.144415,True,,False
CO2,Bunsen 1855,286.95,13.80,102900,1.03,8.621000e-04,,-0.138395,True,,False
CO2,Bunsen 1855,289.25,16.10,103200,1.03,7.846000e-04,,-0.133782,True,,False
CO2,Bunsen 1855,292.25,19.10,103500,1.03,7.260000e-04,,-0.130436,True,,False
CO2,Cramer 1982,306.15,33.00,800000,8.00,3.760000e-03,,-0.111405,True,,False
CO2,Cramer 1982,399.45,126.30,2000000,20.00,2.865000e-03,,-0.003715,True,,False
CO2,Cramer 1982,405.65,132.50,2000000,20.00,2.716000e-03,,0.006418,True,,False
CO2,Cramer 1982,419.15,146.00,2800000,28.00,4.158000e-03,,0.004266,True,,False
CO2,Cramer 1982,426.65,153.50,3100000,31.00,4.356000e-03,,0.016872,True,,False
CO2,Cramer 1982,471.25,198.10,4100000,41.00,4.758000e-03,,0.097959,True,,False
CO2,Cramer 1982,486.25,213.10,5800000,58.00,7.172000e-03,,0.111935,True,,False
CO2,Ellis & Golding 1963,450.15,177.00,2525400,25.25,2.235000e-03,,0.108556,True,,False
CO2,Ellis & Golding 1963,474.15,201.00,3413200,34.13,2.832000e-03,,0.158411,True,,False
CO2,Ellis & Golding 1963,477.15,204.00,5345800,53.46,5.816000e-03,,0.116536,True,,False
CO2,Ellis & Golding 1963,502.15,229.00,7151800,71.52,7.543000e-03,,0.172564,True,,False
